Purchase_Date,Falchion,Falchion_Autotronic_BS,Falchion_Autotronic_FN,Falchion_Autotronic_FT,Falchion_Autotronic_MW,Falchion_Autotronic_WW,Falchion_Black_laminate_BS,Falchion_Black_laminate_FN,Falchion_Black_laminate_FT,Falchion_Black_laminate_MW,Falchion_Black_laminate_WW,Falchion_Blue_Steel_BS,Falchion_Blue_Steel_FN,Falchion_Blue_Steel_FT,Falchion_Blue_Steel_MW,Falchion_Blue_Steel_WW,Falchion_Boreal_forest_BS,Falchion_Boreal_forest_FN,Falchion_Boreal_forest_FT,Falchion_Boreal_forest_MW,Falchion_Boreal_forest_WW,Falchion_Bright_Water_BS,Falchion_Bright_Water_FN,Falchion_Bright_Water_FT,Falchion_Bright_Water_MW,Falchion_Bright_Water_WW,Falchion_Case_Hardened_BS,Falchion_Case_Hardened_FN,Falchion_Case_Hardened_FT,Falchion_Case_Hardened_MW,Falchion_Case_Hardened_WW,Falchion_Crimson_web_BS,Falchion_Crimson_web_FN,Falchion_Crimson_web_FT,Falchion_Crimson_web_MW,Falchion_Crimson_web_WW,Falchion_Damascus_Steel_BS,Falchion_Damascus_Steel_FN,Falchion_Damascus_Steel_FT,Falchion_Damascus_Steel_MW,Falchion_Damascus_Steel_WW,Falchion_Doppler_FN,Falchion_Doppler_MW,Falchion_Fade_FN,Falchion_Fade_MW,Falchion_Forest_DDPAT_BS,Falchion_Forest_DDPAT_FN,Falchion_Forest_DDPAT_FT,Falchion_Forest_DDPAT_MW,Falchion_Forest_DDPAT_WW,Falchion_Freehand_BS,Falchion_Freehand_FN,Falchion_Freehand_FT,Falchion_Freehand_MW,Falchion_Freehand_WW,Falchion_Gamma_Doppler_FN,Falchion_Gamma_Doppler_MW,Falchion_Lore_BS,Falchion_Lore_FN,Falchion_Lore_FT,Falchion_Lore_MW,Falchion_Marble_Fade_FN,Falchion_Marble_Fade_MW,Falchion_Night_BS,Falchion_Night_FT,Falchion_Night_MW,Falchion_Rust_coat_BS,Falchion_Rust_coat_WW,Falchion_safari_mesh_BS,Falchion_safari_mesh_FT,Falchion_safari_mesh_MW,Falchion_safari_mesh_WW,Falchion_Scorched_BS,Falchion_Scorched_FN,Falchion_Scorched_FT,Falchion_Scorched_MW,Falchion_Scorched_WW,Falchion_Slaughter_FN,Falchion_Slaughter_FT,Falchion_Slaughter_MW,Falchion_Stained_BS,Falchion_Stained_FN,Falchion_Stained_FT,Falchion_Stained_MW,Falchion_Stained_WW,Falchion_Tiger_Tooth_FN,Falchion_Tiger_Tooth_MW,Falchion_Ultraviolet_FN,Falchion_Ultraviolet_FT,Falchion_Ultraviolet_MW,Falchion_Ultraviolet_WW,Falchion_Urban_masked_BS,Falchion_Urban_masked_FN,Falchion_Urban_masked_FT,Falchion_Urban_masked_MW,Falchion_Urban_masked_WW
May 27 2015,291.169,,,,,,,,,,,185.061,377.589,247.451,360.44,224.648,138.122,,121.75,,108.302,,,,,,156.307,,252.415,298.794,231.755,131.874,,273.082,390.624,260.434,,,,,,,,394.379,389.886,117.394,,112.133,,,,,,,,,,,,,,,,128.646,193.8,332.145,,,79.732,108.481,,100.778,116.787,,116.707,213.62,,396.552,,354.974,150.118,,131.33,221.799,,,,,,,,113.717,162.8,126.063,237.566,129.962
May 28 2015,209.544,,,,,,,,,,,164.823,,188.43,235.357,173.357,92.553,,102.039,,114.209,,,,,,198.332,231.733,196.765,250.252,199.912,131.952,,205.107,364.942,,,,,,,,,370.146,355.996,92.851,,95.881,142.333,101.529,,,,,,,,,,,,,,103.788,148.232,280.139,,,72.977,81.918,90.911,84.137,85.23,200.304,101.72,123.51,,393.522,267.208,287.947,,,123.384,146.774,119.305,,,,,,,93.383,211.73,106.13,200.011,118.55
May 29 2015,202.337,,,,,,,,,,,170.6,,185.126,215.516,176.072,83.897,,100.668,147.589,94.029,,,,,,200.039,,180.227,214.265,190.0,139.758,,231.946,371.397,197.27,,,,,,,,353.669,370.08,86.083,235.748,102.791,147.198,95.189,,,,,,,,,,,,,,113.009,149.043,248.628,,,,90.316,96.855,87.934,98.92,,95.17,126.578,92.056,380.14,267.143,338.523,121.205,,122.442,134.542,126.815,,,,,,,88.888,,104.585,129.943,90.399
May 30 2015,196.449,,,,,,,,,,,185.458,,189.897,210.033,177.288,87.672,,107.34,149.291,104.0,,,,,,164.861,,214.828,147.607,219.124,131.51,,240.567,368.129,186.304,,,,,,,,336.69,,88.224,,99.66,,,,,,,,,,,,,,,,105.423,154.586,218.698,,,83.19,86.201,99.528,,84.133,,96.496,165.0,103.982,380.632,269.509,284.684,119.32,219.189,135.681,136.622,131.267,,,,,,,,,102.828,147.81,97.335
May 31 2015,174.116,,,,,,,,,,,167.814,,187.407,239.36,178.678,75.728,,105.982,132.332,100.95,,,,,,164.385,279.225,205.15,217.75,175.934,95.914,,204.11,379.309,191.803,,,,,,,,352.653,,44.55,,96.011,142.413,113.645,,,,,,,,,,,,,,113.751,149.623,221.93,,,82.521,86.834,90.177,85.24,62.056,,93.966,142.457,89.749,357.42,238.983,300.067,109.642,,120.91,140.19,125.533,,,,,,,91.486,,98.551,136.266,85.485
Jun 01 2015,190.402,,,,,,,,,,,176.141,,181.215,,,85.827,124.965,106.784,123.094,,,,,,,,,180.939,238.83,164.355,126.283,,232.452,394.453,197.712,,,,,,,,342.468,,86.216,,99.879,79.168,95.817,,,,,,,,,,,,,,109.857,143.06,234.795,,,78.264,85.548,99.341,86.612,88.382,,90.288,120.245,91.404,385.019,291.14,328.661,118.576,,129.417,133.99,124.133,,,,,,,84.751,,91.632,117.215,86.396
Jun 02 2015,207.235,,,,,,,,,,,153.04,314.48,203.296,235.737,166.935,75.148,,97.19,145.17,115.789,,,,,,145.503,268.45,180.059,267.015,173.881,114.606,,237.396,,,,,,,,,,354.468,351.253,89.674,,95.028,128.964,88.81,,,,,,,,,,,,,,78.986,141.026,245.432,,,84.0,83.268,99.91,81.077,82.755,,89.87,103.542,89.849,393.142,292.597,328.338,141.027,,113.518,151.067,106.673,,,,,,,91.059,,95.57,140.2,87.961
Jun 03 2015,203.271,,,,,,,,,,,167.099,,179.444,232.402,170.156,76.897,258.86,97.987,130.669,94.156,,,,,,158.839,,181.931,233.639,183.362,141.405,,196.234,403.232,185.173,,,,,,,,367.717,345.261,81.585,,94.975,124.456,92.586,,,,,,,,,,,,,,94.71,131.025,224.255,,,74.829,76.44,90.405,83.304,81.031,,89.588,121.205,91.533,345.197,,309.527,54.742,117.778,110.054,143.246,112.272,,,,,,,86.271,,88.434,121.164,94.41
Jun 04 2015,192.414,,,,,,,,,,,171.753,,154.669,,146.911,72.334,,101.3,,103.369,,,,,,165.483,,192.441,214.69,254.746,,,186.851,375.396,,,,,,,,,306.585,284.25,79.868,,84.922,,,,,,,,,,,,,,,,90.598,120.76,198.768,,,83.594,74.41,87.621,73.857,77.161,,83.438,112.346,,319.181,270.51,291.602,102.348,133.262,113.919,,107.863,,,,,,,82.776,,80.895,112.31,88.97
Jun 05 2015,163.192,,,,,,,,,,,133.902,320.11,137.831,183.76,132.115,70.61,,90.889,127.028,,,,,,,,,177.379,182.625,145.504,112.435,,190.527,338.249,217.524,,,,,,,,249.57,237.48,,,78.389,114.145,,,,,,,,,,,,,,,90.992,120.405,194.025,,,65.582,68.165,96.334,65.344,74.629,,77.815,94.196,78.67,324.152,255.417,263.097,,143.59,98.197,109.604,92.731,,,,,,,89.88,,76.755,100.248,77.92
